booking_reference,venue_name,event_title,seat_row,seat_number
BK-0085,Mumbai Convention Centre,Maple Leaf Comedy Night,C,4
BK-0086,Dubai Pearl Arena,Table Mountain Sessions,B,1
BK-0087,Toronto Ice Dome,Arabian Nights Gala,B,1
BK-0088,Toronto Ice Dome,La Boheme Revival,C,3
BK-0088,Mumbai Convention Centre,Maple Leaf Comedy Night,B,2
BK-0089,Auckland Harbour Theatre,Chamber Strings Evening,C,4
BK-0090,Mumbai Convention Centre,African Jazz Revival,B,1
BK-0091,Dubai Pearl Arena,Carnival Warmup Show,B,4
BK-0092,Toronto Ice Dome,Arabian Nights Gala,C,4
BK-0093,Mumbai Convention Centre,Maple Leaf Comedy Night,A,2
BK-0094,Cape Town Waterfront Hall,Pacific Rim Showcase,C,3
BK-0094,Cape Town Waterfront Hall,Sakura Symphony,C,1
BK-0095,Dubai Pearl Arena,Table Mountain Sessions,C,3
BK-0095,Auckland Harbour Theatre,Anime Live Orchestra,C,1
BK-0096,Tokyo Grand Hall,Samba Sunset Festival,C,1
BK-0096,Mumbai Convention Centre,Harbourside Acoustic Set,C,2
BK-0097,Dubai Pearl Arena,Carnival Warmup Show,A,2
BK-0098,Dubai Pearl Arena,Bollywood Beats Live,A,2
BK-0099,Cape Town Waterfront Hall,Skyline Jazz Evening,C,4
BK-0100,Dubai Pearl Arena,Carnival Warmup Show,C,2
BK-0101,Uber Arena,New Year Countdown Concert,A,2
BK-0102,Uber Arena,Winter Lights Festival,B,4
BK-0103,Uber Arena,Berlin Beats Arena Night,B,4
BK-0104,Uber Arena,New Year Countdown Concert,C,4
BK-0105,Uber Arena,Winter Lights Festival,C,2
BK-0106,Uber Arena,New Year Countdown Concert,C,3
BK-0107,Uber Arena,Winter Lights Festival,C,4
BK-0108,Uber Arena,Winter Lights Festival,A,1
BK-0108,Uber Arena,Berlin Beats Arena Night,B,2
